,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
69,Makakilo City,US,84.18,21.35,-158.09,52,20,9.17
70,Troitskoye,RU,28.76,52.98,84.68,72,0,2.82
71,Bethel,US,30.2,60.79,-161.76,80,1,19.46
72,Atkinson,US,60.12,41.42,-90.02,51,40,4.7
73,Jackville,CI,80.6,5.21,-4.42,83,20,5.82
74,Jardim,BR,79.07,-21.48,-56.15,80,32,7.52
75,Srivardhan,IN,78.94,18.03,73.02,71,64,4.83
76,Hamilton,BM,77,32.3,-64.78,69,75,19.46
77,Qaanaaq,GL,-8.55,77.48,-69.36,100,0,9.75
78,Greiz,DE,39.2,50.66,12.2,93,92,1.12
79,Mar del Plata,AR,70.43,-46.43,-67.52,34,0,5.06
80,Inhambane,MZ,66.38,-23.87,35.38,100,0,3.94
81,Sarangani,PH,82.4,5.4,125.46,100,44,13.78
82,Kahului,US,82.33,20.89,-156.47,58,75,13.87
83,Grindavik,IS,40.3,63.84,-22.43,93,75,34.45
84,Claudio,BR,75.29,-20.44,-44.77,70,76,12.66
85,Touros,BR,79.21,-5.2,-35.46,80,0,11.77
86,San Carlos de Bariloche,AR,59,-41.13,-71.31,62,75,18.34
87,Saint George,GR,55.4,39.45,22.34,87,0,4.7
88,Fethiye,TR,55.4,36.62,29.12,82,20,6.93
89,Portland,US,60.31,45.52,-122.67,67,90,11.41
90,East London,ZA,69.76,-33.02,27.91,100,0,17.92
91,Bloemfontein,ZA,64.4,-29.12,26.22,42,0,3.36
92,Bluff,AU,71.6,-23.58,149.07,83,0,7.07
93,Vao,EE,36.95,59.1,26.19,97,92,16.91
94,Nisia Floresta,BR,80.6,-6.09,-35.21,65,40,5.82
95,Victoria,BN,78.8,5.28,115.24,94,75,2.24
96,Faya,SA,62.65,18.39,42.45,82,0,4.38
97,Vila Velha,BR,80.6,-3.71,-38.6,74,40,6.93
98,Bima,ID,71.56,-8.45,118.73,100,0,3.27
99,Nanortalik,GL,35.96,60.14,-45.24,95,92,13.44
100,Paamiut,GL,37.13,61.99,-49.67,99,92,33.91
101,Wattegama,LK,69.8,7.35,80.68,99,80,2.37
102,Tres Palos,MX,87.8,16.83,-99.78,66,40,3.36
103,Tazovskiy,RU,29.62,67.47,78.7,89,64,24.63
104,Constitucion,MX,71.6,23.99,-104.67,37,75,8.05
105,Kodiak,US,71.6,39.95,-94.76,33,1,8.05
106,Jamestown,AU,53.29,-33.21,138.6,88,92,3.83
107,Ahipara,NZ,61.88,-35.17,173.16,92,32,7.96
108,Mizan Teferi,ET,60.17,6.99,35.58,93,32,2.26
109,San Nicolas,HN,74.71,14.94,-88.33,81,100,2.59
110,Mandalgovi,MN,27.37,45.76,106.27,72,0,12.21
111,Capinopolis,BR,82.36,-18.68,-49.57,60,64,9.42
112,Klaksvik,FO,35.6,62.23,-6.59,100,68,3.36
113,Te Anau,NZ,44.33,-45.41,167.72,100,92,3.6
114,Katsuura,JP,55.4,33.93,134.5,76,40,6.93
115,Kiruna,SE,23,67.86,20.23,92,12,3.36
116,Richards Bay,ZA,62.69,-28.77,32.06,97,0,2.37
117,Puerto Ayora,EC,77,-0.74,-90.35,61,0,24.16
118,Hibbing,US,44.62,47.43,-92.94,93,90,8.05
119,Port-Gentil,GA,80.6,-0.72,8.78,88,20,13.87
120,Awbari,LY,62.11,26.59,12.77,67,0,4.61
121,Yerbogachen,RU,32,61.28,108.01,96,64,6.4
122,Castro,CL,54.59,-42.48,-73.76,96,92,5.84
123,Valuyki,RU,46.85,50.21,38.1,81,76,15.23
124,Phalaborwa,ZA,71.6,-23.95,31.14,64,0,8.05
125,Severo-Kurilsk,RU,38.93,50.68,156.12,100,48,10.54
126,Cabo San Lucas,MX,86.2,22.89,-109.91,54,40,5.39
127,Ponta do Sol,BR,72.91,-20.63,-46,81,56,12.77
128,Torbay,CA,39.2,47.66,-52.73,64,75,14.99
129,Along,IN,57.74,28.17,94.8,54,0,2.37
130,BELLAVISTA,CO,83.17,10.27,-74.82,92,48,8.41
131,Thohoyandou,ZA,63.32,-22.97,30.46,52,0,3.94
132,Rome,IT,69.82,41.89,12.48,77,75,21.92
133,Dingle,PH,72.86,11,122.67,92,44,5.39
134,San Cristobal,EC,62.6,-0.39,-78.55,63,75,20.8
135,Sioux Lookout,CA,42.8,50.1,-91.92,93,90,9.17
136,Opole Lubelskie,PL,44.06,51.15,21.97,91,92,3.71
137,Omsukchan,RU,12.11,62.53,155.8,91,48,2.37
138,Takoradi,GH,80.15,4.89,-1.75,100,8,7.07
139,Pandan,PH,82.76,11.72,122.09,100,64,20.27
140,Chuy,UY,63.77,-33.69,-53.46,85,80,14.45
141,Tiksi,RU,12.61,71.64,128.87,72,0,14.9
142,Mahebourg,MU,66.2,-20.41,57.7,82,20,8.05
143,Predivinsk,RU,31.1,57.07,93.44,79,0,4.27
144,Altamont,CA,42.8,49.4,-98.5,100,92,5.82
145,Chokurdakh,RU,7.34,70.62,147.9,85,88,7.4
146,Aklavik,CA,23.68,68.22,-135.01,92,90,3.36
147,Copiapo,CL,62.6,-27.37,-70.33,67,20,6.93
148,Saskylakh,RU,18.77,71.97,114.09,82,92,25.52
149,Colon,US,72.99,41.3,-96.61,31,1,10.29
150,Konstantinovka,MD,55.22,47.99,28.86,66,0,9.86
151,Aksarka,RU,26.87,66.56,67.8,90,76,9.75
152,Sharjah,AE,84.76,25.36,55.39,66,0,5.82
153,Lasa,CY,60.17,34.92,32.53,77,20,4.7
154,Hasaki,JP,57.52,35.73,140.83,72,75,12.75
155,Pochutla,MX,89.06,15.74,-96.47,66,20,5.95
156,Chavakkad,IN,76.95,10.53,76.05,88,0,2.24
157,San Jeronimo,PE,56.21,-13.65,-73.37,61,80,2.48
158,Kosa,RU,33.67,59.94,54.99,78,76,16.24
159,Lompoc,US,72.7,34.64,-120.46,22,1,11.41
160,Hilo,US,77.29,19.71,-155.08,69,20,5.82
161,Koumac,NC,75.38,-20.56,164.28,77,0,4.16
162,Ucluelet,CA,53.6,48.94,-125.55,58,90,16.11
163,Trelew,AR,74.89,-43.25,-65.31,32,0,9.98
164,Vrangel,RU,45.32,42.73,133.08,100,56,19.37
165,Rockport,US,80.04,28.02,-97.05,65,1,10.29
166,Gat,SN,82.4,14.69,-16.54,69,8,4.7
167,Port Elizabeth,US,50.54,39.31,-74.98,93,90,11.41
168,Hit,IQ,50.32,33.64,42.83,89,0,3.49
169,Dzerzhinsk,RU,33.8,56.24,43.46,86,0,8.95
170,Kununurra,AU,80.6,-15.77,128.74,61,0,2.24
171,Timra,SE,30.2,62.49,17.33,68,8,9.17
172,Darhan,MN,21.52,49.49,105.92,63,8,4.38
173,Mulchen,CL,71.6,-37.72,-72.23,49,75,2.24
174,Port Blair,IN,84.07,11.67,92.75,100,8,13.44
175,Ayan,TR,22.46,40.67,33.6,69,0,1.59
176,San Patricio,PY,73.36,-26.98,-56.83,63,0,4.72
177,Cherskiy,RU,-12.01,68.75,161.3,77,32,2.71
178,Hami,CN,32.41,42.84,93.51,54,0,4.72
179,Khatanga,RU,32.45,71.98,102.47,89,92,20.04
180,Fonte Boa,BR,81.91,-2.51,-66.09,90,48,3.27
181,Dikson,RU,24.35,73.51,80.55,100,88,34.81
182,Toowoomba,AU,62.6,-27.56,151.95,93,20,3.36
183,Luoyang,CN,40.19,34.66,112.42,58,0,6.4
184,Nuuk,GL,33.8,64.17,-51.74,74,75,24.16
185,Baykit,RU,34.25,61.68,96.39,74,0,9.08
186,Ngunguru,NZ,63.19,-35.62,174.5,97,8,8.97
187,Huarmey,PE,71.6,-10.07,-78.15,54,20,4.27
188,Carnarvon,ZA,61.88,-30.97,22.13,18,0,2.71
189,Pithoragarh,IN,50.59,29.59,80.22,55,0,2.48
190,Xuanzhou,CN,47.48,30.95,118.78,74,0,8.63
191,Jijiga,ET,47.26,9.35,42.8,88,0,2.48
192,Severo-Yeniseyskiy,RU,41.41,60.37,93.04,58,0,9.42
193,Ust-Maya,RU,14.09,60.42,134.54,67,64,7.29
194,Maniitsoq,GL,34.88,65.42,-52.9,97,36,21.94
195,Port Hedland,AU,68,-20.31,118.58,100,0,6.93
196,Sao Joao da Barra,BR,78.8,-21.64,-41.05,88,75,9.17
197,Ambilobe,MG,66.38,-13.19,49.05,68,0,3.94
198,Kaeo,NZ,63.82,-35.1,173.78,86,44,6.85
199,Buraydah,SA,64.4,26.33,43.97,72,40,17.22
200,Pevek,RU,6.76,69.7,170.27,100,24,7.18
201,Queanbeyan,AU,55.4,-35.35,149.23,47,20,5.82
202,Pisco,PE,68,-13.71,-76.2,72,75,11.41
203,Nome,US,78.8,30.04,-94.42,47,1,9.17
204,Alpine,US,46.8,43.07,-85.69,61,90,5.82
205,La Ronge,CA,33.8,55.1,-105.3,74,90,2.24
206,Jambi,ID,74.21,-1.6,103.62,98,64,5.06
207,Upernavik,GL,23.99,72.79,-56.15,100,88,23.29
208,Huejuquilla el Alto,MX,72.23,22.63,-103.9,44,20,2.48
209,Matamoros,US,81.97,25.87,-97.51,54,1,9.17
210,Tiarei,PF,86,-17.53,-149.33,66,20,11.41
211,San Jose,PH,72.77,15.79,120.99,85,36,1.7
212,Dunda,IN,41.45,30.62,78.32,65,0,2.59
213,Guzelyurt,TR,37.4,38.28,34.37,86,0,4.7
214,Roebourne,AU,64.81,-20.77,117.15,88,0,4.72
215,Dondo,MZ,75.2,-19.62,34.74,69,20,11.41
216,Kokino,RU,49.42,53.16,34.12,84,92,17.13
217,Doha,QA,82.4,25.29,51.53,69,75,20.8
218,Dona Ines,BR,79.66,-6.62,-35.63,59,0,10.31
219,Marawi,PH,61.66,8,124.29,95,32,1.81
220,Srednekolymsk,RU,7.79,67.46,153.71,76,92,6.73
221,Vanimo,PG,79.7,-2.67,141.3,100,68,3.6
222,Kavieng,PG,80.6,-2.57,150.8,100,56,6.62
223,Griffith,AU,55.49,-34.29,146.06,61,68,9.98
224,Sitka,US,77.32,37.17,-99.65,32,0,8.97
225,Padang,ID,79.43,-0.92,100.36,100,48,2.71
226,Elat,CM,70.43,2.91,11.16,93,8,1.92
227,Avera,US,61.54,33.19,-82.53,67,90,8.05
228,Humaita,AR,67.71,-24.93,-65.37,82,90,11.41
229,Tefe,BR,84.2,-3.35,-64.71,79,40,3.36
230,Krasnaya Gora,RU,48.2,53.01,31.6,81,75,8.95
231,Xinyang,CN,44.29,32.13,114.07,66,0,5.61
232,Moramanga,MG,57.29,-18.95,48.23,100,76,2.37
233,Ixtapa,MX,84.2,20.71,-105.21,74,5,8.05
234,Tahe,CN,26.02,52.34,124.71,73,88,12.33
235,Barinas,VE,87.62,8.64,-70.23,72,8,5.95
236,Itarema,BR,82.27,-2.92,-39.92,63,0,17.13
237,Onguday,RU,13.46,50.75,86.14,60,0,1.7
238,Rehoboth,NA,69.67,-23.31,17.08,43,92,9.75
239,Sorland,NO,41.41,67.67,12.69,100,92,14.12
240,Yerky,UA,53.06,49.93,33.53,67,24,15.23
241,Mareeba,AU,78.8,-16.99,145.42,54,0,9.17
242,Cabinda,AO,79.39,-5.56,12.19,96,32,7.4
243,Jacareacanga,BR,86.54,-6.22,-57.76,77,32,2.15
244,Road Town,VG,84.2,18.42,-64.62,74,40,5.82
245,Muncar,ID,76.64,-8.43,114.34,98,88,5.5
246,Lavrentiya,RU,28.22,65.58,-170.99,100,0,24.63
247,Slave Lake,CA,41,55.28,-114.77,80,90,16.11
248,Vestmannaeyjar,IS,40.19,63.44,-20.27,98,92,24.85
249,Ajdabiya,LY,70.39,30.75,20.22,42,44,12.33
250,Sulangan,PH,82.36,11.14,123.72,100,44,15.46
251,Ambon,FR,37.4,47.55,-2.56,93,0,6.93
252,Radomsko,PL,41.9,51.07,19.44,79,92,5.84
253,Praia da Vitoria,PT,64.4,38.73,-27.07,59,75,20.15
254,Komsomolskiy,RU,26.24,67.55,63.78,88,80,11.43
255,Saint-Philippe,CA,36.57,45.36,-73.48,74,90,20.8
256,Juegang,CN,50.99,32.31,121.18,100,0,12.21
257,Konakovo,RU,34.34,56.71,36.78,100,92,16.69
258,Luderitz,NA,73.4,-26.65,15.16,56,32,9.17
259,Sisimiut,GL,24.53,66.94,-53.67,100,56,2.71
260,Szczecinek,PL,40.73,53.71,16.69,100,56,7.52
261,Roald,NO,35.6,62.58,6.12,80,0,12.75
262,Husavik,CA,43.52,50.56,-96.99,98,80,7.63
263,Ligayan,PH,83.17,4.65,119.47,100,8,7.52
264,Ouallam,NE,81.23,14.32,2.08,55,0,3.6
265,Thompson,CA,32,55.74,-97.86,97,90,5.82
266,Calabozo,VE,88.66,8.92,-67.43,59,36,7.29
267,Peleduy,RU,14.9,59.63,112.75,79,44,2.82
268,Pangai,TO,80.6,-19.8,-174.35,83,90,6.93
269,Kudahuvadhoo,MV,79.52,2.67,72.89,100,88,9.75
270,Fortuna,ES,59.02,38.18,-1.13,87,20,5.82
271,Sivaki,RU,31.51,52.63,126.75,73,92,13
272,Vagay,RU,35.29,57.94,69.02,81,20,6.96
273,Kutum,SD,71.96,14.2,24.66,26,0,11.65
274,Bambous Virieux,MU,66.2,-20.34,57.76,82,20,8.05
275,Khamza,UZ,60.04,40.42,71.51,38,32,4.7
276,Yumen,CN,29.44,40.29,97.04,60,0,6.73
277,Aswan,EG,73.4,24.09,32.9,23,0,9.17
278,Amahai,ID,82.27,-3.31,129,100,8,4.38
279,Saint-Pierre,FR,35.6,48.95,4.24,93,44,5.82
280,Mount Isa,AU,77,-20.73,139.49,29,20,11.41
281,Provideniya,RU,25.57,64.42,-173.23,100,0,8.97
282,Havoysund,NO,30.2,71,24.66,86,80,11.41
283,Codrington,AU,66.74,-28.95,153.24,84,8,3.15
284,Viedma,AR,76.1,-40.81,-62.99,35,8,10.65
285,Virginia Beach,US,58.28,36.85,-75.98,82,75,5.82
286,Otane,NZ,62.96,-39.89,176.62,82,12,3.94
287,Geraldton,CA,37.4,49.72,-86.95,74,90,5.82
288,Vung Tau,VN,77,10.35,107.08,94,40,1.12
289,Yinchuan,CN,19.36,38.48,106.21,68,0,3.04
290,Telimele,GN,74.62,10.9,-13.03,94,36,2.71
291,Horta,ES,51.8,41.43,2.16,87,92,10.29
292,Necochea,AR,67.55,-38.55,-58.74,68,88,6.4
293,Igrim,RU,33.04,63.19,64.42,71,32,8.75
294,Marsa Matruh,EG,62.6,31.35,27.25,72,40,7.18
295,Quimper,FR,39.2,48,-4.1,80,20,10.29
296,Rocha,UY,62.02,-34.48,-54.34,81,88,9.31
297,Haines Junction,CA,31.24,60.75,-137.51,70,8,2.15
298,Comodoro Rivadavia,AR,69.8,-45.87,-67.48,35,20,14.99
299,Rawson,AR,74.89,-43.3,-65.11,32,0,9.98
300,Bose,IT,47.5,45.46,8.01,100,90,6.93
301,Rafaela,AR,71.96,-31.25,-61.49,71,92,7.18
302,Olavarria,AR,70.7,-36.89,-60.32,60,64,6.06
303,Sao Borja,BR,74.3,-28.66,-56,59,0,11.88
304,Port Moresby,PG,77,-9.47,147.16,94,20,3.36
305,Narsaq,GL,33.8,60.91,-46.05,86,88,6.93
306,Arkhangelsk,RU,28.4,64.54,40.54,92,0,4.47
307,Molteno,ZA,57.97,-31.4,26.36,55,0,5.61
308,Rio Branco,BR,89.6,-9.98,-67.82,62,40,3.36
309,Camacha,PT,65.41,33.08,-16.33,68,40,16.11
310,Guerrero Negro,MX,86.27,27.97,-114.04,39,0,9.75
311,Goma,CD,54.86,-1.67,29.23,100,68,1.03
312,Rosarito,CO,74.37,4.91,-75.23,88,75,2.24
313,Zhuanghe,CN,50.09,39.7,122.97,100,64,13
314,Rio Grande,BR,64.4,-32.03,-52.1,77,20,12.75
315,Biltine,TD,82.36,14.53,20.93,20,12,13.22
316,Bukama,CD,76.19,-9.2,25.85,73,8,2.82
317,Aksu,KZ,50,52.04,76.93,53,0,13.42
318,Poltavka,RU,46.09,54.36,71.76,98,92,8.75
319,Souillac,FR,40.8,45.6,-0.6,75,0,8.05
320,Tevriz,RU,41.99,57.51,72.4,97,92,4.83
321,Tyup,KG,17.92,42.73,78.36,74,64,2.59
322,Okhotsk,RU,22.91,59.36,143.24,100,24,5.61
323,Kandrian,PG,71.51,-6.21,149.55,100,92,2.71
324,Ossora,RU,28.04,59.24,163.07,100,0,3.94
325,Kirakira,SB,83.44,-10.46,161.92,100,56,4.27
326,Charagua,BO,69.8,-19.79,-63.2,83,90,6.73
327,Bonavista,CA,43.34,48.65,-53.11,92,0,18.25
328,Brandon,US,58.55,43.59,-96.57,67,90,8.05
329,Ordynskoye,RU,45.05,54.37,81.9,60,8,15.46
330,Sao Jose da Coroa Grande,BR,78.31,-8.9,-35.15,78,0,12.55
331,Tam Ky,VN,80.6,15.57,108.48,83,40,2.24
332,Henties Bay,NA,69.17,-22.12,14.28,76,12,3.6
333,Wuwei,CN,23.41,37.93,102.64,79,0,4.05
334,Bhandara,IN,71.6,21.16,79.65,73,12,2.93
335,Lazaro Cardenas,MX,75.2,28.39,-105.62,33,5,4.7
336,Cidreira,BR,63.64,-30.17,-50.22,94,100,22.5
337,Norsup,VU,78.31,-16.07,167.38,92,0,3.27
338,Wonthaggi,AU,47.26,-38.6,145.59,90,0,1.81
339,Mount Gambier,AU,45.59,-37.83,140.78,86,24,3.27
340,Madang,PG,75.74,-5.21,145.81,100,92,5.73
341,Port Hardy,CA,50,50.7,-127.42,81,90,25.28
342,Dakoro,NE,78.67,14.51,6.76,71,12,2.93
343,Aguimes,ES,68,27.91,-15.45,82,20,6.93
344,Kaman,TR,26.92,39.36,33.73,69,0,2.59
345,Salem,US,60.44,44.94,-123.03,72,90,4.7
346,Aquiraz,BR,80.6,-3.9,-38.39,74,40,6.93
347,Yar-Sale,RU,29.39,66.83,70.83,100,88,17.81
348,Fort Nelson,CA,53.6,58.81,-122.69,32,20,6.93
349,Aasiaat,GL,35.42,68.71,-52.87,92,32,9.75
350,Rubtsovsk,RU,44.15,51.53,81.22,57,0,14.67
351,Namatanai,PG,79.52,-3.66,152.44,100,92,4.61
352,Singkang,MY,77,2.1,102.8,94,75,1.92
353,Aragarcas,BR,84.2,-15.9,-52.25,66,0,2.24
354,Sistranda,NO,28.4,63.73,8.83,79,20,6.93
355,Karratha,AU,64.81,-20.74,116.85,88,0,4.72
356,Noumea,NC,77,-22.28,166.46,65,40,9.17
357,Mae Hong Son,MM,67.06,19.3,97.96,92,24,1.36
358,Eisenerz,AT,44.6,47.54,14.89,100,92,2.24
359,Yulara,AU,62.6,-25.24,130.99,93,32,8.05
360,Hervey Bay,AU,75.2,-25.3,152.85,95,0,7.96
361,Barcelos,PT,46.54,41.53,-8.62,75,0,10.29
362,Prince Rupert,CA,55.4,54.32,-130.32,54,1,9.17
363,Yingcheng,CN,48.2,30.93,113.57,87,0,3.15
364,Stromness,CA,38.84,42.87,-79.55,100,90,23.04
365,Zarumilla,EC,77,-3.5,-80.28,69,40,11.41
366,Khani,GE,48.2,41.96,42.96,81,40,10.29
367,Mayo,CA,30.2,63.59,-135.9,80,90,3.6
368,Berlevag,NO,32.86,70.86,29.09,100,88,16.02
369,Carpentersville,US,51.37,42.12,-88.26,70,75,5.39
370,Novikovo,UA,56.12,45.05,34.56,88,0,13.56
371,Luquillo,PR,83.05,18.37,-65.72,74,20,11.41
372,Savalou,BJ,74.66,7.93,1.98,95,44,3.15
373,Derzhavinsk,KZ,42.53,51.1,66.31,100,92,17.02
374,Tarko-Sale,RU,33.31,64.92,77.78,87,76,14
375,Bontang,ID,77.27,0.12,117.47,100,88,7.18
376,Nikita,UA,59.27,44.52,34.24,94,0,10.31
377,Ancud,CL,54.14,-41.87,-73.83,96,92,5.73
378,Lardos,GR,59,36.09,28.02,82,40,2.24
379,Neryungri,RU,14.41,56.66,124.71,75,76,17.47
380,Price,US,62.6,39.6,-110.81,33,1,4.7
381,San Quintin,PH,77,17.54,120.52,73,75,9.17
382,At-Bashi,KG,20.12,41.17,75.81,70,20,1.92
383,Araouane,ML,68.45,18.9,-3.53,22,0,4.5
384,Sao Felix do Xingu,BR,84.83,-6.64,-51.99,76,8,2.48
385,Rhymney,GB,39.34,51.76,-3.29,69,68,10.29
386,Tupik,RU,21.2,54.43,119.94,50,0,11.1
387,Seoni Malwa,IN,62.02,22.45,77.47,54,0,5.06
388,Porto Novo,BR,77,-23.68,-45.44,73,40,10.29
389,Temir,KZ,39.02,49.14,57.13,79,64,17.13
390,Xining,CN,26.15,36.62,101.77,85,56,2.37
391,Sokol,RU,20.84,59.46,40.11,71,80,3.94
392,Monrovia,LR,77,6.33,-10.8,94,40,3.36
393,Namie,JP,48.83,37.52,140.86,81,40,5.82
394,Semnan,IR,55.4,35.58,53.39,62,92,7.74
395,Ialibu,PG,60.8,-6.28,143.99,100,40,1.7
396,Vuktyl,RU,29.12,63.86,57.31,90,88,4.05
397,Gushikawa,JP,70.07,26.35,127.87,56,75,13.87
398,Villa Carlos Paz,AR,73.4,-31.42,-64.5,53,75,13.87
399,Harper,US,80.02,30.3,-99.24,39,1,6.93
400,Vilhena,BR,86,-12.74,-60.15,62,40,8.05
401,Pangoa,PE,74.93,-12.12,-73,75,56,0.58
402,Ishigaki,JP,69.8,24.34,124.16,60,75,16.11
403,West Lafayette,US,51.8,40.43,-86.91,61,90,5.82
404,Kloulklubed,PW,78.8,7.04,134.26,88,90,4.7
405,Whitehorse,CA,42.8,60.72,-135.06,56,40,11.41
406,Opuwo,NA,62.51,-18.06,13.84,87,92,2.71
407,Jaciara,BR,84.02,-15.95,-54.98,73,44,6.51
408,Parakai,NZ,60.8,-36.66,174.44,87,32,12.75
409,Kaura Namoda,NG,78.67,12.59,6.58,66,20,3.6
410,Nishihara,JP,58.69,35.74,139.53,81,90,9.31
411,Napoleon,US,64.4,46.5,-99.77,42,0,23.04
412,Sur,OM,79.43,22.57,59.53,100,80,8.63
413,Iesolo,IT,63.75,45.53,12.64,72,0,11.41
414,Grenada,US,68,33.77,-89.81,56,1,8.05
415,Emerald,AU,72.86,-23.53,148.16,60,0,6.73
416,Dombarovskiy,RU,36.59,50.76,59.54,74,48,13
417,Aykhal,RU,23.27,65.95,111.51,82,92,12.66
418,Khash,IR,54.32,28.22,61.21,59,44,4.83
419,Nantucket,US,58.62,41.28,-70.1,93,90,18.34
420,Huilong,CN,45.59,28.89,110.18,81,0,1.92
421,Imeni Poliny Osipenko,RU,36.14,52.42,136.49,96,88,10.98
422,Ilulissat,GL,30.2,69.22,-51.1,86,75,6.93
423,Liverpool,GB,39.06,53.41,-2.98,65,0,13.87
424,Khomutovo,RU,47.21,52.85,37.45,82,92,18.25
425,Luancheng,CN,48.2,37.88,114.65,39,0,4.47
426,Olinda,EC,82.4,-2.03,-79.75,61,40,6.93
427,Khasan,RU,39.83,42.43,130.64,100,56,7.96
428,Hovd,NO,26.67,63.83,10.7,85,20,8.05
429,Verkhoyansk,RU,-8.55,67.55,133.39,63,32,1.92
430,Payo,ID,72.14,-3.75,103.64,98,92,3.15
431,Ostrovnoy,RU,26.06,68.05,39.51,80,80,10.98
432,Idrinskoye,RU,23.27,54.37,92.14,62,0,3.6
433,Jacobabad,PK,71.96,28.29,68.44,60,0,2.59
434,Casper,US,50,42.87,-106.31,66,40,13.87
435,Chama,ZM,70.88,-11.22,33.16,56,0,11.65
